batter,player,game_year,plate_appearances,chases,chases_in_play,chase_rate,chase_plus,xchase_plus,luck,luck_raw,luck_se,luck_z,chase_plus_rank,xchase_plus_rank,rank_move,chase_plus_raw,xchase_plus_raw,chase_plus_se,xchase_plus_se,league_chase_cost_per_600_pa
669701,Josh Smith,2024,588,287,65,26.162260711030083,108.0037229103024,105.1116850284393,2.8920378818631036,4.349091257962542,7.269151510660301,0.5982942096590703,91.0,108.0,17.0,109.75580936987774,105.4067181119152,10.371816214837477,7.655788746297209,36.03869116391255
457705,Andrew Mccutchen,2024,514,181,29,17.38712776176753,125.5155698131565,122.6520406681179,2.863529145038598,7.217526064416774,7.509436687630664,0.961127493931107,17.0,34.0,17.0,133.2597356073965,126.04220954297972,11.225485189703232,8.211610363178975,36.03869116391255
676694,Jake Meyers,2024,512,290,65,31.453362255965292,98.9753284635026,96.1308237483348,2.844504715167801,3.365193564123075,8.235684613746733,0.4086112717946976,146.0,169.0,23.0,97.72582138474384,94.36062782062076,13.360398662424297,9.88096281054319,36.03869116391255
670032,Nicky Lopez,2024,446,223,70,27.875,103.41347254856102,100.706206088528,2.7072664600330114,3.9255117308247662,9.197410259276564,0.4268062008939387,118.0,138.0,20.0,104.1039677615432,100.17845603071844,12.46025101394939,9.13121071063456,36.03869116391255
543760,Marcus Semien,2024,715,338,81,25.39444027047333,114.41124795695468,111.85892321953604,2.552324737418644,5.544907173064701,9.581483422218184,0.5787107203261239,59.0,79.0,20.0,118.72840302375846,113.18349585069376,11.470100712970464,7.683397007392525,36.03869116391255
656555,Rhys Hoskins,2024,517,277,52,25.48298068077277,118.33340587821183,115.81052826966396,2.522877608547873,10.218918985824487,11.631483426226735,0.8785568109724345,37.0,61.0,24.0,128.88145713196084,118.66253814613636,15.674778242331664,9.349067469912876,36.03869116391255
663624,Ryan Mountcastle,2024,506,377,101,38.23529411764706,88.43816528558528,85.94802221668951,2.490143068895776,-4.500402449936317,15.750140919551642,-0.28573728152169636,216.0,216.0,0.0,74.97757418462218,79.4779766345585,19.8451015571738,12.072062912024675,36.03869116391255
686676,Korey Lee,2024,395,238,41,35.20710059171598,69.78822062697559,67.31282192523526,2.475398701740332,-6.247509881577784,12.043911062347915,-0.5187276665558386,264.0,265.0,1.0,51.94171585914147,58.18922574071925,14.7272260535082,9.93343853474793,36.03869116391255
630105,Jake Cronenworth,2024,656,301,65,22.872340425531917,117.99630818103611,115.61728861524898,2.3790195657871323,5.3106920269596,8.391764493638963,0.632845694250018,40.0,62.0,22.0,122.82711214131956,117.51642011435996,10.716872554594094,7.687991639166987,36.03869116391255
679032,Johan Rojas,2024,361,226,71,34.93044822256569,99.84529794340024,97.55687078666672,2.288427156733519,2.036429593268437,18.430297284758108,0.11049358357081784,140.0,161.0,21.0,97.79665379207944,95.760224198811,20.75430409835375,11.149510261124366,36.03869116391255
666971,Lourdes Gurriel,2024,550,341,95,32.97872340425532,116.62497964215028,114.37673753610648,2.2482421060438043,14.56138748908461,15.364529415131917,0.9477275284945385,47.0,69.0,22.0,132.62174400489977,118.06035651581516,20.37741022161853,11.283698462598792,36.03869116391255
641857,Ryan Mcmahon,2024,646,342,83,26.47058823529412,107.9560028458489,105.86614721366686,2.0898556321820365,4.167665879966961,8.771699215486644,0.4751264011206458,92.0,104.0,12.0,110.69079038594457,106.5231245059776,13.007268460927133,9.701856598228282,36.03869116391255
683002,Gunnar Henderson,2024,716,345,90,23.31081081081081,124.1860841640566,122.3228198804312,1.8632642836253979,6.076006740239421,8.97279418610221,0.6771588219030402,22.0,37.0,15.0,133.03587922352474,126.95987248328532,12.34957955879339,9.68584801415562,36.03869116391255
592669,Hunter Renfroe,2024,424,220,63,26.506024096385545,103.64446218948804,101.94409031754738,1.7003718719406606,3.35267374964387,10.399327313984275,0.322393328762278,116.0,126.0,10.0,104.900891847876,101.54821809823213,15.783948696182913,11.234359252683198,36.03869116391255
668930,Brice Turang,2024,616,319,88,28.155339805825243,116.53193067526658,114.85040308703871,1.6815275882278655,10.219594925131162,15.04750198230209,0.6791555792550016,49.0,66.0,17.0,126.7757113133458,116.55611638821463,16.357619316477226,7.521172890936858,36.03869116391255
666397,Edouard Julien,2024,301,109,19,17.868852459016395,118.52990371303136,116.8985481384373,1.6313555745940533,6.264141132631494,9.256627101839642,0.6767196154403338,36.0,56.0,20.0,127.17726084195722,120.91311970932573,14.109395452483945,10.643785565349187,36.03869116391255
573262,Mike Yastrzemski,2024,473,227,55,23.91991570073762,116.22046138853275,114.58940575788058,1.6310556306521704,6.622533990411,10.29519106870946,0.6432647967592464,52.0,67.0,15.0,124.44053808071376,117.81800409030276,14.809252907497063,10.465079602051148,36.03869116391255
