game_year,check,group,takes,log_loss,brier_score,auc,calibration_intercept,calibration_slope,in_sample_log_loss,model_coefficients,minimum_out_of_fold_gap,fold_splits,fold_groups,fold_seed,actual_rate,predicted_rate,actual_minus_predicted_per_1000,z,run_fingerprint
2024,by distance decile,"(0.153, 0.253]",25277,,,,,,,,,,,,0.14764410333504768,0.14603899279865717,1.6051105363905083,0.7324226761048868,6113e1c2d8723036
2024,by distance decile,"(0.253, 0.354]",25277,,,,,,,,,,,,0.05202357874747794,0.05236639091815449,-0.3428121706765472,-0.24628338524842097,6113e1c2d8723036
2024,by distance decile,"(0.354, 0.462]",25277,,,,,,,,,,,,0.014519128061083198,0.014324500843965027,0.1946272171181717,0.26102785918185784,6113e1c2d8723036
2024,by distance decile,"(0.462, 0.576]",25278,,,,,,,,,,,,0.002887886699897144,0.002860401500458079,0.027485199439064925,0.08187463016408611,6113e1c2d8723036
2024,by distance decile,"(0.576, 0.703]",25277,,,,,,,,,,,,0.0005143015389484512,0.0005568077560530157,-0.042506217104564564,-0.28649800849415624,6113e1c2d8723036
2024,by distance decile,"(0.703, 0.856]",25277,,,,,,,,,,,,3.956165684218855e-05,0.00027923529708145196,-0.2396736402392634,-2.2807161479267575,6113e1c2d8723036
2024,by distance decile,"(0.856, 1.057]",25277,,,,,,,,,,,,0.0002373699410531313,0.00018669038359081313,0.05067955746231818,0.5897726535630179,6113e1c2d8723036
2024,by distance decile,"(1.057, 1.372]",25277,,,,,,,,,,,,7.91233136843771e-05,0.00010518109910573408,-0.026057785421356977,-0.4039809540873661,6113e1c2d8723036
2024,by distance decile,"(1.372, 10.182]",25278,,,,,,,,,,,,0.0,3.4345551453482356e-05,-0.03434555145348236,-0.931792470942443,6113e1c2d8723036
2024,by distance bucket x strikes,borderline / 0,13590,,,,,,,,,,,,0.44069168506254597,0.4488772456985213,-8.185560635975309,-1.998009408489191,6113e1c2d8723036
2024,by distance bucket x strikes,borderline / 1,6910,,,,,,,,,,,,0.3410998552821997,0.332625141455114,8.4747138270857,1.5582816621783286,6113e1c2d8723036
2024,by distance bucket x strikes,borderline / 2,3959,,,,,,,,,,,,0.2601667087648396,0.2579624850841567,2.204223680682904,0.33025602947579574,6113e1c2d8723036
2024,by distance bucket x strikes,clearly off / 0,32796,,,,,,,,,,,,0.009391389193804122,0.008864146452683186,0.5272427411209362,1.0246057116412075,6113e1c2d8723036
2024,by distance bucket x strikes,clearly off / 1,23691,,,,,,,,,,,,0.005023004516483053,0.005159255533455789,-0.13625101697273614,-0.2938701374904509,6113e1c2d8723036
2024,by distance bucket x strikes,clearly off / 2,19707,,,,,,,,,,,,0.002740143096361699,0.0031793308595473684,-0.4391877631856693,-1.0982681287880398,6113e1c2d8723036
2024,by distance bucket x strikes,just off / 0,25528,,,,,,,,,,,,0.13350047007207771,0.1306181577405013,2.8823123315764034,1.3962036047151736,6113e1c2d8723036
2024,by distance bucket x strikes,just off / 1,15121,,,,,,,,,,,,0.0802856953905165,0.08369314897878899,-3.407453588272491,-1.5395980744659457,6113e1c2d8723036
2024,by distance bucket x strikes,just off / 2,9737,,,,,,,,,,,,0.06008010680907877,0.05815792003598772,1.922186773091049,0.8211663230381013,6113e1c2d8723036
2024,by distance bucket x strikes,nowhere near / 0,30996,,,,,,,,,,,,0.0002580978190734288,0.00025383029541868564,0.004267523654743175,0.047166101006614836,6113e1c2d8723036
2024,by distance bucket x strikes,nowhere near / 1,29883,,,,,,,,,,,,3.3463842318375e-05,0.00014268147474256871,-0.10921763242419372,-1.5807585333618812,6113e1c2d8723036
2024,by distance bucket x strikes,nowhere near / 2,40855,,,,,,,,,,,,0.0,8.270828229839294e-05,-0.08270828229839293,-1.8383401148014085,6113e1c2d8723036
2024,by distance bucket x miss direction (not in model),borderline / above,1418,,,,,,,,,,,,0.2693935119887165,0.26793703739777447,1.4564745909420584,0.1260354821055801,6113e1c2d8723036
